NAME,ICAO,IATA,SYNOP,LAT,LONG,ELEV,COUNTRY
AZ TUCSON/WFO      ,KTWC,TWC,72274,32.14N,110.57W,752,US
AZ TUCSON/RYAN FLD ,KRYN,RYN,     ,32.09N,111.10W,737,US
AZ WELLTON         ,KNOZ,NOZ,     ,32.31N,114.28W,103,US
AZ WILLIAMS CLARK  ,KCMR,CMR,     ,35.18N,112.12W,2036,US
AZ WINDOW ROCK     ,KRQE,RQE,     ,35.39N,109.04W,2055,US
AZ WINSLOW         ,KINW,INW,72374,35.02N,110.43W,1490,US
AZ YUMA/88D        ,KYUX,   ,     ,32.30N,114.39W,53,US
AZ YUMA INTL       ,KYUM,YUM,72280,32.38N,114.35W,63,US
AZ YUMA MCAS       ,KNYL,NYL,69960,32.38N,114.37W,65,US
AZ YUMA PRVG GROUN ,K1Y7,1Y7,74004,32.30N,114.24W,231,US
AZ YUMA PRVG GROUN ,    ,   ,69031,32.30N,114.24W,231,US
AZ YUMA (VOR)      ,KBZA,BZA,     ,32.46N,114.36W,63,US
AZ GILA BEND (AAF) ,KGBN,GBN,     ,32.52N,112.43W,262,US
AZ NOGALES         ,K13A,13A,     ,31.25N,110.51W,1198,US
AZ PAYSON          ,K0E4,0E4,     ,34.13N,111.19W,1498,US
AZ SAFFORD         ,KE74,E74,     ,32.49N,109.41W,900,US
AZ SHOW LOW        ,KE03,E03,     ,34.15N,110.02W,1955,US
AZ TUBA CITY       ,KT03,T03,     ,36.06N,111.23W,1400,US
AZ WINDOW ROCK     ,KP34,P34,     ,35.39N,109.04W,2055,US
CA ALAMEDA NAS     ,KNGZ,NGZ,74506,37.46N,122.19W,4,US
CA ALTURAS         ,KAAT,AAT,     ,41.29N,120.34W,1331,US
CA APPLE VALLEY    ,KAPV,APV,     ,34.34N,117.11W,934,US
CA ARCATA/EUREKA   ,KACV,ACV,     ,40.59N,124.06W,67,US
CA AUBURN MUNI     ,KAUN,AUN,     ,38.57N,121.05W,467,US
CA AVALON          ,KAVX,AVX,72292,33.24N,118.25W,482,US
CA BAKERSFIELD     ,KBFL,BFL,72384,35.26N,119.03W,151,US
CA BAKERSFIELD(VOR),KEHF,EHF,     ,35.29N,119.06W,151,US
CA BEALE AFB/MARYSV,KBAB,BAB,     ,39.07N,121.25W,34,US
CA BEALE/ORO DAM   ,KBBX,BBX,     ,39.30N,121.38W,53,US
CA BEAUMONT        ,KBUO,BUO,     ,33.55N,116.58W,692,US
CA BIG BEAR CITY   ,KL35,L35,     ,34.16N,116.51W,2059,US
CA BICYCLE LAKE    ,KBYS,BYS,74611,35.17N,116.37W,716,US
CA BISHOP          ,KBIH,BIH,72480,37.22N,118.21W,1253,US
CA BLYTHE          ,KBLH,BLH,     ,33.37N,114.43W,119,US
CA BRIDGEPORT      ,KO57,O57,     ,38.16N,119.13W,1973,US
CA BRIDGEPORT(MCMWT,KBAN,   ,     ,38.21N,119.31W,2057,US
CA BURBANK         ,KBUR,BUR,72288,34.12N,118.22W,217,US
CA BURNEY          ,KBNY,BNY,     ,40.52N,121.40W,957,US
CA CALEXICO INTL   ,KCXL,CXL,     ,32.40N,115.30W,1,US
CA CAMARILLO       ,KCMA,CMA,     ,34.13N,119.06W,23,US
CA CAMP PENDLETON  ,KNFG,NFG,     ,33.17N,117.20W,24,US
CA CAMP ROBERTS    ,KSYL,SYL,     ,35.45N,120.42W,220,US
CA CAMPO           ,KCZZ,CZZ,     ,32.38N,116.28W,807,US
CA CARLSBAD        ,KCRQ,CRQ,     ,33.08N,117.17W,99,US
CA CHICO MUNICIPAL ,KCIC,CIC,72497,39.47N,121.50W,73,US
CA CHINA LAKE (NAF),KNID,NID,74612,35.40N,117.40W,696,US
CA CHINO           ,KCNO,CNO,     ,33.59N,117.37W,207,US
CA COLUMBIA        ,KO22,O22,     ,38.02N,120.25W,646,US
CA CONCORD         ,KCCR,CCR,     ,38.00N,122.03W,11,US
CA CORONA MUNI     ,KAJO,AJO,     ,33.54N,117.36W,163,US
CA CRESCENT CITY   ,KCEC,CEC,     ,41.46N,124.13W,17,US
CA DAGGETT         ,KDAG,DAG,     ,34.51N,116.47W,587,US
CA DAVIS           ,KEDU,EDU,     ,38.32N,121.47W,21,US
CA EDWARDS AFB     ,KEDW,EDW,72381,34.53N,117.52W,702,US
CA EDWARDS AFB/88D ,KEYX,EYX,     ,35.06N,117.34W,840,US
CA EDWARDS N-AUX   ,K9L2,9L2,     ,34.58N,117.52W,701,US
CA EL CENTRO NAF   ,KNJK,NJK,72281,32.49N,115.40W,-13,US
CA EL MONTE        ,KEMT,EMT,74704,34.04N,118.01W,90,US
CA EMIGRANT GAP    ,KBLU,BLU,     ,39.17N,120.42W,1609,US
CA EUREKA/MURRAY   ,KEKA,EKA,72594,40.48N,124.10W,18,US
CA FALLBROOK       ,KL18,L18,     ,33.21N,117.15W,216,US
CA FORTUNA/FOT/VOR ,    ,   ,     ,40.40N,124.14W,122,US
CA FORTUNA         ,KFOT,FOT,     ,40.33N,124.08W,120,US
CA FRESNO          ,KFAT,FAT,72389,36.47N,119.43W,104,US
CA FRESNO(VOR)     ,KCZQ,CZQ,     ,36.53N,119.49W,104,US
CA FRESNO CHANDLER ,KFCH,FCH,     ,36.43N,119.49W,85,US
CA FULLERTON       ,KFUL,FUL,     ,33.52N,117.59W,35,US
CA GRASS VALLEY    ,KGOO,GOO,     ,39.13N,121.00W,962,US
CA HALF MOON BAY   ,KHAF,HAF,     ,37.31N,122.30W,21,US
CA HANFORD         ,KHJO,HJO,     ,36.19N,119.37W,74,US
CA HANFORD/SAN JOAQ,KHNX,HNX,     ,36.19N,119.38W,74,US
CA HANFORD         ,KO18,O18,     ,36.19N,119.38W,74,US
CA HAWTHORNE       ,KHHR,HHR,     ,33.55N,118.20W,18,US
CA HAYWARD         ,KHWD,HWD,     ,37.40N,122.07W,21,US
CA HEALDSBURG      ,KHES,HES,     ,38.39N,122.54W,85,US
CA HECTOR(VOR)     ,KHEC,HEC,     ,34.48N,116.28W,617,US
CA HOLLISTER MUNI  ,KCVH,CVH,     ,36.54N,121.25W,70,US
CA HUMBOLDT CTY/88D,KBHX,BHX,     ,40.30N,124.18W,732,US
CA HUNTER LIGGET   ,KHGT,HGT,69002,36.00N,121.13W,310,US
CA IMPERIAL        ,KIPL,IPL,     ,32.50N,115.35W,-17,US
CA IMPERIAL BEACH  ,KNRS,NRS,     ,32.34N,117.07W,7,US
CA INYOKERN        ,KIYK,IYK,     ,35.40N,117.49W,749,US
CA LA VERNE/BRACKET,KPOC,POC,     ,34.06N,117.46W,308,US
CA LANCASTER/FOX   ,KWJF,WJF,     ,34.43N,118.13W,715,US
CA LEMOORE NAS/REEV,KNLC,NLC,74702,36.19N,119.57W,72,US
CA LINCOLN         ,KLHM,LHM,     ,38.55N,121.21W,37,US
CA LITTLE RIVER    ,KLLR,LLR,     ,39.16N,123.45W,175,US
CA LIVERMORE       ,KLVK,LVK,     ,37.42N,121.49W,117,US
CA LOMPOC          ,KLPC,LPC,74606,34.40N,120.28W,27,US
CA LONG BEACH      ,KLGB,LGB,72297,33.49N,118.09W,10,US
CA LOS ALAMITOS AAF,KSLI,SLI,     ,33.46N,118.02W,11,US
CA LOS ANGELES     ,KLAX,LAX,72295,33.56N,118.23W,46,US
CA LOS ANGELES/OXNA,KLOX,LOX,     ,34.12N,119.12W,20,US
CA LOS ANGELS/ARTCC,KZLA,ZLA,     ,34.38N,118.05W,819,US
CA LOS ANGELES     ,KCQT,CQT,     ,34.01N,118.17W,56,US
CA LA / WHITEMAN   ,KWHP,   ,     ,34.15N,118.25W,306,US
CA MADERA          ,KMAE,MAE,     ,36.59N,120.07W,77,US
CA MAMMOTH/JUNE LAK,KMMH,MMH,     ,37.37N,118.49W,2173,US
CA MARYSVILLE      ,KMYV,MYV,     ,39.06N,121.34W,21,US
CA MATHER FIELD    ,KMHR,MHR,     ,38.32N,121.17W,29,US
CA MCCLELLAN AFB   ,KMCC,MCC,     ,38.40N,121.24W,23,US
CA MERCED          ,KMCE,MCE,     ,37.17N,120.30W,47,US
CA MERCED/CASTLE AF,KMER,MER,72481,37.23N,120.34W,57,US
CA MIRAMAR NAS/SAN ,KNKX,NKX,72293,32.52N,117.08W,146,US
CA MISSION BAY VOR ,KMZB,MZB,     ,32.47N,117.14W,12,US
CA MODESTO         ,KMOD,MOD,     ,37.37N,120.57W,29,US
CA MOFFETT NAS/MTN ,KNUQ,NUQ,74509,37.24N,122.03W,12,US
CA MOJAVE          ,KMHV,MHV,     ,35.04N,118.09W,849,US
CA MONTAGUE/SISKIYO,KSIY,SIY,     ,41.46N,122.28W,807,US
CA MONTEREY        ,KMRY,MRY,     ,36.35N,121.51W,66,US
CA MONTEREY/WFOKMTR,    ,   ,     ,36.35N,121.51W,66,US
CA MOUNT SHASTA    ,KMHS,MHS,72595,41.19N,122.19W,1078,US
CA MOUNT WILSON    ,KMWS,MWS,72289,34.14N,118.03W,1739,US
CA MURRIETA/TEMECUL,KF70,F70,     ,33.34N,117.08W,412,US
CA NAPA            ,KAPC,APC,     ,38.12N,122.17W,13,US
CA NEEDLES         ,KEED,EED,72380,34.46N,114.37W,302,US
CA NEWHALL         ,K3A6,3A6,     ,34.22N,118.34W,427,US
CA NORTH ISLAND NAS,KNZY,NZY,     ,32.42N,117.13W,8,US
CA NOVATO/GNOSS FLD,KDVO,DVO,     ,38.09N,122.33W,1,US
CA OAKLAND         ,KOAK,OAK,72493,37.43N,122.14W,26,US
CA OAKLAND/ARTCC   ,KZOA,ZOA,     ,37.33N,122.01W,11,US
CA OCEANSIDE       ,KOKB,OKB,     ,33.13N,117.21W,8,US
CA OCEANSIDE/RED-B ,KNXF,NXF,     ,33.17N,117.27W,27,US
CA ONTARIO         ,KONT,ONT,     ,34.03N,117.35W,274,US
CA ORANGE CTY/88D  ,KSOX,SOX,     ,33.49N,117.38W,923,US
CA ORCUTT OIL/VBG  ,KVBX,VBX,     ,34.50N,120.24W,373,US
CA OROVILLE        ,KOVE,OVE,     ,39.30N,121.37W,58,US
CA OXNARD          ,KOXR,OXR,     ,34.12N,119.12W,20,US
CA PALM SPRINGS    ,KPSP,PSP,     ,33.49N,116.30W,135,US
CA PALMDALE        ,KPMD,PMD,72382,34.38N,118.05W,780,US
CA PALMDALE        ,KGXA,GXA,     ,34.34N,117.40W,923,US
CA PALO ALTO       ,KPAO,PAO,     ,37.28N,122.07W,2,US
CA PASO ROBLES     ,KPRB,PRB,     ,35.40N,120.38W,245,US
CA PETALUMA        ,KO69,O69,     ,38.15N,122.36W,28,US
CA PLACERVILLE     ,KPVF,PVF,     ,38.43N,120.45W,789,US
CA POINT MUGU NAS  ,KNTD,NTD,72391,34.07N,119.07W,4,US
CA POINT REYES VOR ,KPYE,PYE,     ,38.05N,122.52W,447,US
CA PORTERVILLE     ,KPTV,PTV,     ,36.01N,119.04W,135,US
CA PT. PIEDRAS BLAN,K87Q,87Q,72390,35.40N,121.17W,27,US
CA RED BLUFF       ,KRBL,RBL,72591,40.09N,122.15W,104,US
CA REDDING         ,KRDD,RDD,72592,40.31N,122.18W,155,US
CA REDLANDS        ,KREI,REI,     ,34.05N,117.09W,480,US
CA RIO VISTA       ,KO88,O88,     ,38.12N,121.42W,7,US
CA RIVERSIDE       ,KRAL,RAL,     ,33.57N,117.27W,252,US
CA RIVERSIDE/MARCH ,KRIV,RIV,72286,33.52N,117.16W,469,US
CA RAMONA          ,KRNM,RNM,     ,33.02N,116.55W,427,US
CA SACRAMENTO      ,KSAC,SAC,     ,38.30N,121.30W,11,US
CA SACRAMENTO/WFO  ,KSTO,STO,72483,38.30N,121.30W,11,US
CA SACRAMENTO/RFC  ,KRSA,RSA,     ,38.30N,121.30W,11,US
CA SACRAMENTO/88D  ,KDAX,DAX,     ,38.30N,121.41W,9,US
CA SACRAMENTO/METRO,KSMF,SMF,     ,38.42N,121.36W,6,US
CA SALINAS         ,KSNS,SNS,     ,36.40N,121.36W,30,US
CA SAN BERNARDINO  ,KSBD,SBD,     ,34.05N,117.15W,353,US
CA SAN CARLOS AIRPO,KSQL,SQL,     ,37.31N,122.15W,1,US
CA SAN CLEMENTE IS.,KNUC,NUC,     ,33.01N,118.34W,55,US
CA SAN DIEGO       ,KSAN,SAN,72290,32.44N,117.11W,12,US
CA SAN DIEGO/MNTGMY,KMYF,MYF,     ,32.49N,117.08W,136,US
CA SAN DIEGO/BROWN ,KSDM,SDM,     ,32.35N,117.00W,159,US
CA SAN DIEGO/SANTEE,KSEE,SEE,     ,32.49N,116.58W,117,US
CA SAN DIEGO/WFO   ,KSGX,SGX,     ,32.44N,117.10W,9,US
CA SAN FRANCISCO   ,KSFO,SFO,72494,37.37N,122.22W,3,US
CA SAN JOSE        ,KSJC,SJC,74505,37.22N,121.55W,24,US
CA SAN JOSE/REID   ,KRHV,RHV,     ,37.19N,121.49W,41,US
CA SAN LUIS OBISPO ,KSBP,SBP,     ,35.14N,120.38W,59,US
CA SAN MARTIN      ,KE16,E16,     ,37.05N,121.36W,86,US
CA SAN NICOLAS ISLA,KNSI,NSI,72291,33.13N,119.27W,154,US
CA SANDBERG        ,KSDB,SDB,72383,34.45N,118.43W,1377,US
CA COSTA MESA      ,KSNA,SNA,     ,33.40N,117.52W,16,US
CA SANTA BARBARA   ,KSBA,SBA,     ,34.26N,119.51W,3,US
CA SANTA BARB(VOR) ,KRZS,RZS,     ,34.31N,119.46W,1104,US
CA SANTA CLAR/88D  ,KMUX,MUX,     ,37.09N,121.54W,1057,US
CA SANTA MARIA     ,KSMX,SMX,72394,34.54N,120.27W,74,US
CA SANTA MONICA    ,KSMO,SMO,     ,34.01N,118.27W,57,US
CA SANTA ROSA      ,KSTS,STS,     ,38.30N,122.49W,39,US
CA SANTA YNEZ      ,KIZA,IZA,     ,34.36N,120.04W,205,US
CA SHELTER COVE    ,KO87,O87,     ,40.01N,124.04W,21,US
CA SOUTH LAKE TAHOE,KTVL,TVL,     ,38.54N,120.00W,1924,US
CA STOCKTON        ,KSCK,SCK,72492,37.53N,121.13W,10,US
CA SUSANVILLE MUNI ,KSVE,SVE,72584,40.22N,120.34W,1263,US
CA THERMAL/PALM SPG,KTRM,TRM,     ,33.38N,116.10W,-35,US
CA TORRANCE MUNICIP,KTOA,TOA,     ,33.47N,118.19W,31,US
CA TRAVIS AFB/FAIRF,KSUU,SUU,74516,38.16N,121.55W,19,US
CA TRUCKEE TAHOE   ,KTRK,TRK,     ,39.19N,120.07W,1798,US
CA TEHACHAPI       ,KTSP,TSP,     ,35.08N,118.26W,1220,US
CA TRINITY CENTER  ,KO86,O86,     ,40.59N,122.42W,729,US
CA TWENTYNINE PALMS,KNXP,NXP,69015,34.17N,116.10W,626,US
CA UKIAH           ,KUKI,UKI,     ,39.07N,123.12W,187,US
CA UKIAH(VOR)      ,KENI,ENI,     ,39.03N,123.16W,187,US
CA VACAVILLE       ,KVCB,VCB,     ,38.23N,121.57W,33,US
CA VAN NUYS        ,KVNY,VNY,     ,34.13N,118.29W,245,US
CA VANDENBERG AFB  ,KVBG,VBG,72393,34.44N,120.35W,112,US
CA VANDENBERG RANGE,KXVW,XVW,     ,34.43N,120.34W,100,US
CA VENTURA CTY/88D ,KVTX,VTX,     ,34.25N,119.11W,831,US
CA VICTORVILLE     ,KVCV,VCV,     ,34.35N,117.23W,876,US
CA VISALIA MUNI    ,KVIS,VIS,     ,36.19N,119.24W,89,US
CA WATSONVILLE     ,KWVI,WVI,     ,36.56N,121.47W,43,US
CA WEAVERVILLE     ,KO54,O54,     ,40.45N,122.55W,717,US
CA ALTURAS         ,KO00,O00,     ,41.29N,120.34W,1331,US
CA ALTURAS         ,KS11,S11,     ,41.30N,120.31W,1341,US
CA BODEGA BAY      ,K92Q,92Q,     ,38.19N,123.03W,3,US
CA CROWS LANDING   ,KNRC,NRC,     ,37.24N,121.06W,50,US
CA CUDDLEBACK GUN R,    ,4CB,74618,35.16N,117.26W,864,US
CA EL TORO MCAS    ,KNZJ,NZJ,69014,33.40N,117.43W,117,US
CA FORT ORD/FRITZSC,KOAR,OAR,     ,36.40N,121.46W,41,US
CA MONTAGUE/YREKA  ,K1O5,1O5,     ,41.44N,122.32W,771,US
CA OCEANSIDE       ,KL32,L32,     ,33.13N,117.21W,8,US
CA PILAR POINT AFS ,K53Q,53Q,72392,37.30N,122.30W,49,US
CA POINT ARGUELLO  ,    ,   ,     ,34.57N,121.52W,23,US
CA POINT ARGUELLO  ,KPGU,PGU,99421,34.34N,120.21W,12,US
CA POINT ARENA     ,KPAA,PAA,72499,38.57N,123.16W,18,US
CA POINT ARENA     ,    ,   ,99412,38.57N,123.16W,17,US
CA ROMONA          ,KL39,L39,     ,33.02N,116.55W,427,US
CA RANCHO MURIETA  ,KRIU,RIU,     ,38.29N,121.06W,45,US
CA SALTON SEA      ,    ,   ,74718,34.05N,118.02W,1,US
CA SUPERIOR VALLEY ,K4SU,4SU,74619,35.20N,117.06W,962,US
CA TUSTIN MCAS     ,KNTK,NTK,69016,33.42N,117.49W,17,US
CA VACAVILLE       ,KO45,O45,     ,38.23N,121.57W,33,US
CA MARCH AFB/88D   ,KRIX,RIX,     ,33.33N,117.26W,468,US
CO DENVER (DIA)    ,KDEN,DEN,72565,39.51N,104.39W,1640,US
CO AKRON           ,KAKO,AKO,     ,40.10N,103.13W,1421,US
CO ALAMOSA         ,KALS,ALS,72462,37.26N,105.52W,2299,US
CO ASPEN           ,KASE,ASE,     ,39.14N,106.52W,2354,US
CO BERTHOUD PASS   ,K0CO,0CO,     ,39.48N,105.46W,3807,US
CO BOULDER DEN/WFO ,KBOU,BOU,     ,40.00N,105.20W,1625,US
CO BROOMFIELD/JEFFC,KBJC,BJC,     ,39.54N,105.06W,1724,US
CO BUCKLEY ANGB/DEN,KBKF,BKF,     ,39.43N,104.45W,1726,US
CO BURLINGTON      ,KITR,ITR,     ,39.14N,102.17W,1279,US
CO CANON CITY      ,K1V6,1V6,     ,38.26N,105.06W,1658,US
CO CHEYENNE MTN    ,KCWN,CWN,     ,38.45N,104.51W,2040,US
CO COLORADO SPRINGS,KCOS,COS,72466,38.49N,104.41W,1856,US
CO CO SPNGS MEADOW ,KFLY,FLY,     ,38.57N,104.34W,2096,US
CO CORTEZ          ,KCEZ,CEZ,     ,37.18N,108.38W,1797,US
CO CRAIG           ,KCAG,CAG,72570,40.30N,107.31W,1887,US
CO DEL NORTE       ,KRCV,RCV,     ,37.43N,106.21W,2425,US
CO DENVER/ARAPAHOE ,KAPA,APA,     ,39.34N,104.51W,1775,US
CO DENVER F. RANGE ,KFTG,FTG,     ,39.47N,104.33W,1675,US
CO DENVER/ARTCC    ,KZDV,ZDV,     ,40.11N,105.08W,1498,US
CO DENVER/STAPLETON,KDNR,DNR,72469,39.45N,104.52W,1608,US
CO DOVE CREEK      ,KDVC,DVC,     ,37.48N,108.55W,2131,US
CO DURANGO         ,KDRO,DRO,     ,37.09N,107.46W,2035,US
CO EAGLE CO. REGION,KEGE,EGE,     ,39.38N,106.55W,1993,US
CO RED TABLE VOR   ,KDBL,DBL,     ,39.26N,106.54W,3584,US
CO FORT CARSON     ,KFCS,FCS,72468,38.40N,104.46W,1789,US
CO FT COLLINS/LOVEL,KFNL,FNL,     ,40.27N,105.01W,1529,US
CO GRANADA PROFILER,    ,GDA,74530,37.46N,102.10W,1155,US
CO GRAND JUNCTION  ,KGJT,GJT,72476,39.07N,108.31W,1475,US
CO GRAND JUNCTION  ,KJNC,JNC,     ,39.04N,108.48W,2367,US
CO GRAND JUNC/MESA ,KGJX,GJX,     ,39.04N,108.13W,3045,US
CO GREELEY/WELD    ,KGXY,GXY,     ,40.25N,104.37W,1420,US
CO GUNNISON        ,KGUC,GUC,     ,38.31N,106.55W,2339,US
CO GUNNISON(VOR)   ,KHBU,HBU,     ,38.27N,107.02W,2339,US
CO HAYDEN VOR      ,KCHE,CHE,     ,40.29N,107.13W,2339,US
CO HAYDEN/YAMPA    ,KHDN,HDN,72571,40.28N,107.13W,2012,US
CO LA JUNTA        ,KLHX,LHX,     ,38.03N,103.31W,1277,US
CO LAMAR           ,KLAA,LAA,72463,38.04N,102.41W,1119,US
CO LEADVILLE       ,KLXV,LXV,72467,39.14N,106.19W,3028,US
CO LIMON           ,KLIC,LIC,     ,39.16N,103.40W,1630,US
CO MEEKER          ,KEEO,EEO,     ,40.03N,107.53W,1930,US
CO MONTROSE        ,KMTJ,MTJ,     ,38.30N,107.54W,1750,US
CO NUCLA/HOPKINS F ,KAIB,AIB,     ,38.14N,108.34W,1811,US
CO PETERSON AFB    ,KPEF,PEF,     ,38.47N,104.43W,1881,US
CO PLATTEVILLE PROF,    ,PLT,74533,40.10N,104.42W,1524,US
CO PUEBLO CTY 88D  ,KPUX,PUX,     ,38.28N,104.11W,1600,US
CO PUEBLO          ,KPUB,PUB,72464,38.17N,104.30W,1420,US
CO RIFLE           ,KRIL,RIL,     ,39.32N,107.44W,1678,US
CO SAGUACHE MUNI   ,K04V,04V,     ,38.06N,106.10W,2385,US
CO SCHRIEVER AFB   ,KSHM,SHM,     ,38.48N,104.31W,1900,US
CO SPRINGFIELD     ,KSPD,SPD,     ,37.17N,102.37W,1335,US
CO STEAMBOAT SPRING,KSBS,SBS,     ,40.31N,106.52W,2096,US
CO MT WERNER SBS   ,K3MW,3MW,     ,40.27N,106.45W,3241,US
CO TELLURIDE REGION,KTEX,TEX,     ,37.57N,107.54W,2769,US
CO TOBE/VOR        ,KTBE,TBE,     ,37.16N,103.36W,1747,US
CO TRINIDAD/ANIMAS ,KTAD,TAD,     ,37.16N,104.20W,1756,US
CO USAF ACADEMY/COS,KAFF,AFF,74531,38.58N,104.49W,2003,US
CO WALTON PEAK     ,KC07,C07,     ,40.21N,106.42W,3225,US
CO DURANGO(AWRS)   ,K4V5,4V5,     ,37.17N,107.52W,2012,US
CO FORT COLLINS    ,KFCL,FCL,     ,40.35N,105.05W,1525,US
CO FRASER          ,K4FC,4FC,     ,39.57N,105.50W,2609,US
CO GUNNISON/AWRS   ,K2V9,2V9,     ,38.36N,106.55W,2349,US
CO LAMAR           ,K4LJ,4LJ,     ,38.05N,102.37W,1103,US
CO SALIDA          ,KS29,S29,     ,38.31N,106.01W,2282,US
CO WINTER PARK     ,KC96,C96,     ,40.00N,105.52W,2740,US
CO YUMA            ,K2V6,2V6,     ,40.06N,102.43W,1261,US
CO YUMA            ,KYMA,   ,     ,40.06N,102.43W,1261,US
CO FLAGLER         ,KFLA,   ,     ,39.17N,103.04W,1507,US
CO KIRK            ,K72C,   ,     ,39.36N,102.34W,1280,US
CO STERLING        ,KSTK,   ,     ,40.37N,103.16W,1231,US
CO STRATTON        ,KSTR,   ,     ,39.18N,102.36W,1345,US
CO RED CLIFF PASS  ,KCCU,   ,     ,39.29N,106.09W,3680,US
CO RANGELY         ,K4V0,   ,     ,40.06N,108.46W,1608,US
CO BUENA VISTA     ,KAEJ,   ,     ,38.49N,106.07W,2422,US
CO DELTA/BLAKE FLD ,KAJZ,   ,     ,38.47N,108.04W,1583,US
CO SALIDA          ,KANK,   ,     ,38.32N,106.03W,2293,US
CO BOULDER MUNI    ,KBDU,   ,     ,40.02N,105.14W,1612,US
CO ELLICOTT-B AFA  ,KABH,   ,     ,38.46N,104.18W,1840,US
CO ERIE MUNI       ,KEIK,   ,     ,40.01N,105.03W,1564,US
CO FORT MORGAN     ,KFMM,   ,     ,40.20N,103.48W,1393,US
CO GRANBY/GRAND CO ,KGNB,   ,     ,40.05N,105.55W,2500,US
CO HOLYOKE         ,KHEQ,   ,     ,40.34N,102.17W,1137,US
CO LONGMONT/VBRAND ,KLMO,   ,     ,40.10N,105.10W,1541,US
CO PAGOSA SPRINGS  ,KPSO,   ,     ,37.17N,107.03W,2334,US
CO WOLF CREEK PASS ,KCPW,   ,     ,37.27N,106.48W,3584,US
CO CORONA PASS     ,KCRV,   ,     ,40.03N,105.35W,3538,US
CO MONUMENT/ELBERT ,KMNH,   ,     ,39.13N,104.39W,2152,US
CO MONARCH PASS    ,KMYP,   ,     ,38.29N,106.19W,3667,US
CO LA VETA PASS    ,KVTP,   ,     ,37.30N,105.10W,3114,US
CO WALDEN          ,K33V,   ,     ,40.45N,106.17W,2484,US
CO KREMMLING AWOS  ,K20V,   ,     ,40.03N,106.22W,2259,US
CO WILKERSON PASS  ,K4BM,   ,     ,39.03N,105.31W,3438,US
CO SUNLIGHT        ,K5SM,   ,     ,39.26N,107.23W,3232,US
CO COTTONWOOD PASS ,K7BM,   ,     ,38.47N,106.13W,2995,US
CO WRAY            ,K2V5,   ,     ,40.06N,102.15W,1118,US
CT BRIDGEPORT      ,KBDR,BDR,72504,41.10N,073.08W,7,US
CT CHESTER         ,KSNC,SNC,     ,41.23N,072.30W,127,US
CT DANBURY         ,KDXR,DXR,     ,41.22N,073.29W,139,US
CT GROTON/NEW LONDO,KGON,GON,     ,41.20N,072.03W,3,US
CT HARTFORD/BRAINAR,KHFD,HFD,     ,41.44N,072.39W,4,US
CT MERIDEN         ,KMMK,MMK,     ,41.31N,072.50W,31,US
CT NEW HAVEN/TWEED ,KHVN,HVN,     ,41.16N,072.52W,4,US
CT OXFORD/WATERBURY,KOXC,OXC,     ,41.28N,073.08W,222,US
CT WILLIMANTIC     ,KIJD,IJD,     ,41.45N,072.11W,75,US
CT WINDSOR LOCKS   ,KBDL,BDL,72508,41.56N,072.41W,60,US
CT MANSFIELD       ,K5B0,5B0,     ,41.45N,072.10W,76,US
CT PUTNAM          ,K5B3,5B3,     ,41.04N,073.37W,91,US
DE DOVER AFB       ,KDOV,DOV,     ,39.07N,075.28W,9,US
DE DOVER/ELLENDALE ,KDOX,DOX,     ,38.50N,075.26W,15,US
DE GEORGETOWN      ,KGED,GED,     ,38.41N,075.22W,19,US
DE WILMINGTON      ,KILG,ILG,     ,39.40N,075.36W,28,US
FL APALACHICOLA    ,KAAF,AAF,72220,29.44N,085.02W,5,US
FL BARTOW MUNICIPAL,KBOW,BOW,     ,27.56N,081.46W,39,US
FL BOCA RATON      ,KBCT,BCT,     ,26.23N,080.06W,4,US
FL BONIFAY TRI-CTY ,K1J0,1J0,     ,30.51N,085.36W,26,US
FL BROOKSVILLE     ,KBKV,BKV,     ,28.28N,082.27W,20,US
FL CAPE CANAVERAL  ,KXMR,XMR,74794,28.28N,080.34W,3,US
FL CECIL FIELD NAS ,KNZC,NZC,     ,30.13N,081.52W,25,US
FL CLEARWATER      ,KCLW,CLW,     ,27.59N,082.46W,22,US
FL CRESTVIEW       ,KCEW,CEW,     ,30.47N,086.31W,55,US
FL CROSS CITY      ,KCTY,CTY,72212,29.38N,083.06W,13,US
FL CRYSTAL RIVER   ,KCGC,CGC,     ,28.52N,082.34W,3,US
FL DAYTONA BEACH   ,KDAB,DAB,     ,29.11N,081.04W,9,US
FL DE FUNIAK SPRNGS,K54J,54J,     ,30.44N,086.09W,88,US
FL DELAND          ,KDED,DED,     ,29.04N,081.17W,24,US
FL DESTIN          ,KDTS,DTS,     ,30.24N,086.28W,5,US
FL DUKE FLD/EGLIN  ,KEGI,EGI,74778,30.38N,086.31W,59,US
FL EGLIN AFB/88D   ,KEVX,EVX,     ,30.34N,085.55W,43,US
FL EGLIN AFB/VALPAR,KVPS,VPS,72221,30.28N,086.31W,26,US
FL EVERGLADES CITY ,KEGC,EGC,     ,25.51N,081.23W,2,US
FL FERNANDINA BEACH,KFHB,FHB,     ,30.37N,081.28W,5,US
FL FLAMINGO/MONROE ,KFLM,FLM,     ,25.08N,080.55W,2,US
FL FT LAUDERD/HOLLY,KFLL,FLL,     ,26.04N,080.09W,3,US
FL FT LAUDERD/EXEC ,KFXE,FXE,     ,26.12N,080.11W,6,US
